variable,group,value
pVax1-VEGF-FGF2-DsRed,CCL1,8.42
pVax1-VEGF-FGF2-DsRed,CCL17,11.86
pVax1-VEGF-FGF2-DsRed,CCL25,3.11
pVax1-VEGF-FGF2-DsRed,CXCL-1,3.75
pVax1-VEGF-FGF2-DsRed,CXCL-13,122.61
pVax1-VEGF-FGF2-DsRed,CXCL-16,16.0
pVax1-VEGF-FGF2-DsRed,CXCL-27,357.78
pVax1-VEGF-FGF2-DsRed,CXCL-5,77.04
pVax1-VEGF-FGF2-DsRed,Eotaxin,1326.78
pVax1-VEGF-FGF2-DsRed,Eotaxin-2,1450.63
pVax1-VEGF-FGF2-DsRed,Fractalkine,28.65
pVax1-VEGF-FGF2-DsRed,GM-CSF,1.31
pVax1-VEGF-FGF2-DsRed,I-TAC,216.02
pVax1-VEGF-FGF2-DsRed,IFN-g,12.29
pVax1-VEGF-FGF2-DsRed,IL-10,6.82
pVax1-VEGF-FGF2-DsRed,IL-16,83.82
pVax1-VEGF-FGF2-DsRed,IL-1b,31.76
pVax1-VEGF-FGF2-DsRed,IL-2,1.55
pVax1-VEGF-FGF2-DsRed,IL-4,0.6
pVax1-VEGF-FGF2-DsRed,IL-6,5.89
pVax1-VEGF-FGF2-DsRed,IP10,88.27
pVax1-VEGF-FGF2-DsRed,MCP-1,84.69
pVax1-VEGF-FGF2-DsRed,MCP-3,51.96
pVax1-VEGF-FGF2-DsRed,MCP-5,7.84
pVax1-VEGF-FGF2-DsRed,MDC,1.44
pVax1-VEGF-FGF2-DsRed,MIP-1a,5.89
pVax1-VEGF-FGF2-DsRed,MIP-1b,15.29
pVax1-VEGF-FGF2-DsRed,MIP-2,15.19
pVax1-VEGF-FGF2-DsRed,MIP-3a,12.77
pVax1-VEGF-FGF2-DsRed,MIP-3b,30.69
pVax1-VEGF-FGF2-DsRed,RANTES,21.97
pVax1-VEGF-FGF2-DsRed,SDF-1a,23.43
pVax1-VEGF-FGF2-DsRed,TNFa,15.0
pVax1-VEGF-FGF2-DsRed,CCL1,8.1
pVax1-VEGF-FGF2-DsRed,CCL17,13.26
pVax1-VEGF-FGF2-DsRed,CCL25,3.11
pVax1-VEGF-FGF2-DsRed,CXCL-1,3.75
pVax1-VEGF-FGF2-DsRed,CXCL-13,135.77
pVax1-VEGF-FGF2-DsRed,CXCL-16,14.93
pVax1-VEGF-FGF2-DsRed,CXCL-27,304.22
pVax1-VEGF-FGF2-DsRed,CXCL-5,80.51
pVax1-VEGF-FGF2-DsRed,Eotaxin,1313.88
pVax1-VEGF-FGF2-DsRed,Eotaxin-2,1514.76
pVax1-VEGF-FGF2-DsRed,Fractalkine,28.65
pVax1-VEGF-FGF2-DsRed,GM-CSF,7.08
pVax1-VEGF-FGF2-DsRed,I-TAC,228.12
pVax1-VEGF-FGF2-DsRed,IFN-g,7.6
pVax1-VEGF-FGF2-DsRed,IL-10,6.82
pVax1-VEGF-FGF2-DsRed,IL-16,84.0
pVax1-VEGF-FGF2-DsRed,IL-1b,30.33
pVax1-VEGF-FGF2-DsRed,IL-2,7.43
pVax1-VEGF-FGF2-DsRed,IL-4,0.39
pVax1-VEGF-FGF2-DsRed,IL-6,6.16
pVax1-VEGF-FGF2-DsRed,IP10,115.52
pVax1-VEGF-FGF2-DsRed,MCP-1,84.69
pVax1-VEGF-FGF2-DsRed,MCP-3,51.74
pVax1-VEGF-FGF2-DsRed,MCP-5,93.17
pVax1-VEGF-FGF2-DsRed,MDC,6.12
pVax1-VEGF-FGF2-DsRed,MIP-1a,69.18
pVax1-VEGF-FGF2-DsRed,MIP-1b,59.2
pVax1-VEGF-FGF2-DsRed,MIP-2,15.21
pVax1-VEGF-FGF2-DsRed,MIP-3a,6.26
pVax1-VEGF-FGF2-DsRed,MIP-3b,30.47
pVax1-VEGF-FGF2-DsRed,RANTES,21.49
pVax1-VEGF-FGF2-DsRed,SDF-1a,23.88
pVax1-VEGF-FGF2-DsRed,TNFa,19.72
pVax1-VEGF-FGF2-DsRed,CCL1,6.11
pVax1-VEGF-FGF2-DsRed,CCL17,8.71
pVax1-VEGF-FGF2-DsRed,CCL25,73.5
pVax1-VEGF-FGF2-DsRed,CXCL-1,8.31
pVax1-VEGF-FGF2-DsRed,CXCL-13,135.77
pVax1-VEGF-FGF2-DsRed,CXCL-16,7.27
pVax1-VEGF-FGF2-DsRed,CXCL-27,644.98
pVax1-VEGF-FGF2-DsRed,CXCL-5,87.08
pVax1-VEGF-FGF2-DsRed,Eotaxin,376.28
pVax1-VEGF-FGF2-DsRed,Eotaxin-2,740.25
pVax1-VEGF-FGF2-DsRed,Fractalkine,44.65
pVax1-VEGF-FGF2-DsRed,GM-CSF,6.27
pVax1-VEGF-FGF2-DsRed,I-TAC,142.55
pVax1-VEGF-FGF2-DsRed,IFN-g,7.17
pVax1-VEGF-FGF2-DsRed,IL-10,6.82
pVax1-VEGF-FGF2-DsRed,IL-16,202.08
pVax1-VEGF-FGF2-DsRed,IL-1b,32.97
pVax1-VEGF-FGF2-DsRed,IL-2,5.08
pVax1-VEGF-FGF2-DsRed,IL-4,0.14
pVax1-VEGF-FGF2-DsRed,IL-6,6.3
pVax1-VEGF-FGF2-DsRed,IP10,125.97
pVax1-VEGF-FGF2-DsRed,MCP-1,184.69
pVax1-VEGF-FGF2-DsRed,MCP-3,46.53
pVax1-VEGF-FGF2-DsRed,MCP-5,107.95
pVax1-VEGF-FGF2-DsRed,MDC,7.91
pVax1-VEGF-FGF2-DsRed,MIP-1a,44.61
pVax1-VEGF-FGF2-DsRed,MIP-1b,49.88
pVax1-VEGF-FGF2-DsRed,MIP-2,90.73
pVax1-VEGF-FGF2-DsRed,MIP-3a,17.09
pVax1-VEGF-FGF2-DsRed,MIP-3b,23.15
pVax1-VEGF-FGF2-DsRed,RANTES,29.7
pVax1-VEGF-FGF2-DsRed,SDF-1a,22.11
pVax1-VEGF-FGF2-DsRed,TNFa,15.96
pVax1-VEGF-FGF2-DsRed,CCL1,5.97
pVax1-VEGF-FGF2-DsRed,CCL17,10.38
pVax1-VEGF-FGF2-DsRed,CCL25,226.12
pVax1-VEGF-FGF2-DsRed,CXCL-1,10.6
pVax1-VEGF-FGF2-DsRed,CXCL-13,305.85
pVax1-VEGF-FGF2-DsRed,CXCL-16,7.57
pVax1-VEGF-FGF2-DsRed,CXCL-27,826.63
pVax1-VEGF-FGF2-DsRed,CXCL-5,108.38
pVax1-VEGF-FGF2-DsRed,Eotaxin,376.28
pVax1-VEGF-FGF2-DsRed,Eotaxin-2,1210.16
pVax1-VEGF-FGF2-DsRed,Fractalkine,44.97
pVax1-VEGF-FGF2-DsRed,GM-CSF,7.69
pVax1-VEGF-FGF2-DsRed,I-TAC,204.04
pVax1-VEGF-FGF2-DsRed,IFN-g,10.39
pVax1-VEGF-FGF2-DsRed,IL-10,6.82
pVax1-VEGF-FGF2-DsRed,IL-16,266.17
pVax1-VEGF-FGF2-DsRed,IL-1b,57.36
pVax1-VEGF-FGF2-DsRed,IL-2,16.9
pVax1-VEGF-FGF2-DsRed,IL-4,0.67
pVax1-VEGF-FGF2-DsRed,IL-6,10.2
pVax1-VEGF-FGF2-DsRed,IP10,106.97
pVax1-VEGF-FGF2-DsRed,MCP-1,189.66
pVax1-VEGF-FGF2-DsRed,MCP-3,63.46
pVax1-VEGF-FGF2-DsRed,MCP-5,120.19
pVax1-VEGF-FGF2-DsRed,MDC,9.63
pVax1-VEGF-FGF2-DsRed,MIP-1a,54.97
pVax1-VEGF-FGF2-DsRed,MIP-1b,20.2
pVax1-VEGF-FGF2-DsRed,MIP-2,103.26
pVax1-VEGF-FGF2-DsRed,MIP-3a,23.95
pVax1-VEGF-FGF2-DsRed,MIP-3b,51.69
pVax1-VEGF-FGF2-DsRed,RANTES,29.55
pVax1-VEGF-FGF2-DsRed,SDF-1a,36.52
pVax1-VEGF-FGF2-DsRed,TNFa,13.1
pVax1- VEGF-DsRed,CCL1,6.98
pVax1- VEGF-DsRed,CCL17,8.92
pVax1- VEGF-DsRed,CCL25,94.05
pVax1- VEGF-DsRed,CXCL-1,4.37
pVax1- VEGF-DsRed,CXCL-13,102.61
pVax1- VEGF-DsRed,CXCL-16,14.54
pVax1- VEGF-DsRed,CXCL-27,613.92
pVax1- VEGF-DsRed,CXCL-5,60.73
pVax1- VEGF-DsRed,Eotaxin,852.72
pVax1- VEGF-DsRed,Eotaxin-2,450.63
pVax1- VEGF-DsRed,Fractalkine,28.65
pVax1- VEGF-DsRed,GM-CSF,6.27
pVax1- VEGF-DsRed,I-TAC,369.22
pVax1- VEGF-DsRed,IFN-g,6.51
pVax1- VEGF-DsRed,IL-10,6.82
pVax1- VEGF-DsRed,IL-16,374.95
pVax1- VEGF-DsRed,IL-1b,35.56
pVax1- VEGF-DsRed,IL-2,14.12
pVax1- VEGF-DsRed,IL-4,0.6
pVax1- VEGF-DsRed,IL-6,4.37
pVax1- VEGF-DsRed,IP10,106.97
